,Year,BB,1B,2B,3B,HR
0,2010,0.3826891969773129,0.47108706177794807,0.6706416953338091,1.2822136842183909,1.554065633024459
1,2011,0.3178310753204545,0.5507921585936338,0.8117294890752779,0.9005486939497518,1.5068917440271483
2,2012,0.3539179546748602,0.5179870550147636,0.6414012677057658,1.1102354515871427,1.5188085549357995
3,2013,0.44717359609725654,0.41620175215345767,0.6708982311997693,1.1156234836714864,1.4679637619239094
4,2014,0.41691019423871223,0.4720918533784193,0.758557405824784,1.0080300130562587,1.3687626625653393
5,2015,0.3438656358509636,0.5838312779571027,0.7359545136191965,1.001005180472074,1.3875652283605053
6,2016,0.3125876763937308,0.4485364242954843,0.7177760133762356,1.1701045075384973,1.7794572356719953
7,2017,0.2689822121289169,0.48379514878213825,0.5954326021441161,1.664420324952223,1.4394326618698627
8,2018,0.3404210140163553,0.43421751656194857,0.8553782846046024,1.270729833929257,1.4590570940217327
9,2019,0.30372651227004815,0.506762220029329,0.8824414850811344,0.648298228945616,1.4820094006386555
